,state,year,married_last_year,marriage_rate_per_1000,divorced_last_year,divorce_rate_per_1000,population_over_15
141,Florida,2013,241757,14.898903620350321,153528.0,9.461562126536746,16226496
142,Georgia,2013,143728,18.15576633924862,79567.0,10.050928561692883,7916383
143,Idaho,2013,25598,20.39097979143815,13765.0,10.964990891051883,1255359
144,Hawaii,2013,23940,20.902856723752247,8834.0,7.713276369992788,1145298
145,Illinois,2013,160451,15.451330106148868,71987.0,6.932302698963164,10384284
146,Indiana,2013,98383,18.733931069309623,55784.0,10.622298677315877,5251594
147,Iowa,2013,41185,16.530255766424297,22077.0,8.860955604111913,2491492
148,Kansas,2013,47986,20.94609695285055,23882.0,10.424596495394006,2290928
149,Kentucky,2013,68537,19.314548685135684,44209.0,12.45862647651872,3548465
150,Louisiana,2013,58068,15.730617110039553,37082.0,10.045511188167092,3691400
151,Maine,2013,18830,16.85587377519653,11565.0,10.352532140740728,1117118
152,Maryland,2013,78166,16.236529969843417,42157.0,8.756791878037625,4814206
153,Massachusetts,2013,78955,14.22666443234789,38206.0,6.884224448132271,5549790
154,Michigan,2013,120193,14.91280834213017,72135.0,8.950067223212331,8059716
155,Minnesota,2013,76738,17.638089336469687,29663.0,6.817986447232145,4350698
156,Alabama,2014,71382,18.15427702070669,38997.0,9.917939270075072,3931966
157,Alaska,2014,16826,29.021453038921795,5598.0,9.655419833108535,579778
158,Arizona,2014,94220,17.50674712115089,43953.0,8.166780473529451,5381925
159,Arkansas,2014,47876,20.10349883853543,28089.0,11.794786090642946,2381476
160,California,2014,551267,17.66534671207485,216472.0,6.936843550323648,31206124
161,Colorado,2014,92847,21.54572168432885,43697.0,10.140159622175384,4309301
162,Delaware,2014,14214,18.56847435175593,7297.0,9.532443882423175,765491
163,District of Columbia,2014,14971,26.764373045768135,4067.0,7.270770501445394,559363
164,Connecticut,2014,40893,13.778447762320512,22810.0,7.685579279058296,2967896
165,Florida,2014,240140,14.514504803887668,142535.0,8.615078463488501,16544829
166,Georgia,2014,152486,19.01325963075728,80293.0,10.011618479941726,8019982
167,Idaho,2014,28647,22.478407875564077,13945.0,10.942206786914548,1274423
168,Hawaii,2014,22759,19.64095854850736,7462.0,6.439686835491978,1158752
169,Illinois,2014,164477,15.796624735249486,74070.0,7.11379703022264,10412161
170,Indiana,2014,103454,19.575723710838478,56632.0,10.715993438554378,5284811
171,Iowa,2014,45606,18.21828627628471,17749.0,7.090215390908593,2503309
172,Kansas,2014,46164,20.078759678593702,23849.0,10.37298196808728,2299146
173,Kentucky,2014,63331,17.743801814977626,38467.0,10.77751534661926,3569190
174,Louisiana,2014,67719,18.219999246651636,28036.0,7.543169551811534,3716740
175,Maine,2014,17571,15.692736382391555,12145.0,10.846752226062572,1119690
176,Maryland,2014,74581,15.362480045316444,36558.0,7.530356866985942,4854750
177,Massachusetts,2014,81193,14.486178066891947,38045.0,6.787859107988424,5604860
178,Michigan,2014,117560,14.5330401671176,71691.0,8.862607882109797,8089154
179,Minnesota,2014,76325,17.39825582057993,33663.0,7.673468531780966,4386934
180,Mississippi,2014,47538,19.943723944425404,25337.0,10.629688535064714,2383607
181,Missouri,2014,83224,16.95268103073539,44437.0,9.05179139386221,4909194
182,Montana,2014,13794,16.511415787470284,7981.0,9.553255719863733,835422
183,Nebraska,2014,25786,17.320803638000175,13021.0,8.746381143659361,1488730
184,Nevada,2014,48664,21.269379506150393,23148.0,10.117203616808508,2287984
185,New Hampshire,2014,20634,18.569315003401766,9952.0,8.956180232327924,1111188
186,New Jersey,2014,107634,14.780736073350814,43770.0,6.010673373939138,7282046
187,New Mexico,2014,28939,17.3510391197311,15141.0,9.07813273823728,1667854
188,New York,2014,252095,15.515379301618063,99728.0,6.1378359229328865,16248072
189,North Carolina,2014,144032,17.936797545894613,67534.0,8.410239984617633,8029973
190,North Dakota,2014,11130,18.610888623948018,3769.0,6.3022856445337,598037
191,Ohio,2014,147459,15.649510564764803,77861.0,8.263222604813217,9422595
192,Oklahoma,2014,70862,23.001616494738276,37020.0,12.016593415867616,3080740
193,Oregon,2014,59745,18.337408312958438,31190.0,9.573081685181583,3258094
194,Pennsylvania,2014,164346,15.559280027561472,75875.0,7.183383666722809,10562571
195,Rhode Island,2014,13415,15.208509055950081,6693.0,7.587815960601855,882072
196,South Carolina,2014,71199,18.120782309592315,34993.0,8.906031480211293,3929135
197,South Dakota,2014,14825,21.938132247352627,4978.0,7.3664770541194855,675764
198,Tennessee,2014,101942,19.20052496226457,54304.0,10.228024833246506,5309334
199,Texas,2014,426174,20.292524443579744,209898.0,9.994416120313538,21001527
200,Vermont,2014,7959,15.072036722821476,3529.0,6.682902072476064,528064
201,Utah,2014,55190,25.33681808311523,23352.0,10.72051777272888,2178253
202,Virginia,2014,130323,19.244007871078747,56982.0,8.414186724598185,6772134
203,Washington,2014,112738,19.70167355352042,50063.0,8.748823671786734,5722255
204,West Virginia,2014,26873,17.53705897132192,16828.0,10.981789467845244,1532355
205,Wisconsin,2014,76223,16.278617802836155,35922.0,7.671706817016915,4682400
206,Wyoming,2014,11958,25.484901506545985,3499.0,7.457072283944171,469219
207,Puerto Rico,2014,23674,8.103083100926751,18635.0,6.3783455937218045,2921604
208,Mississippi,2015,40277,16.865377215054185,22651.0,9.484759522759695,2388147
209,Missouri,2015,87339,17.710583766504755,44627.0,9.049453528753565,4931458
210,Montana,2015,15476,18.32698196907292,6967.0,8.250457700861402,844438
211,Nebraska,2015,26878,17.897261541862598,13310.0,8.862733504062476,1501794
212,Nevada,2015,47542,20.378971192445437,28977.0,12.421047668240533,2332895
213,New Hampshire,2015,16425,14.696618838157343,8330.0,7.453445048514501,1117604
